,artist_name,track_name,track_id,popularity,artist_id,artists_id,artists_names,year,genre
486,Young the Giant,Something to Believe In,6L3VWDPDTQkQFkqvmpAUMU,60,4j56EQDQu5XnL7R3E9iFJT,['4j56EQDQu5XnL7R3E9iFJT'],['Young the Giant'],2016,modern rock
487,Bad Suns,Violet,7bhSQqbyUvFVfmXgkF028O,58,0YhUSm86okLWldQVwJkLlP,['0YhUSm86okLWldQVwJkLlP'],['Bad Suns'],2016,modern rock
488,The 1975,Love Me,5hRzAbY2AAO258hL6oqsqO,58,3mIj9lX2MWuHmhNCA7LSCW,['3mIj9lX2MWuHmhNCA7LSCW'],['The 1975'],2016,modern rock
489,The Struts,Kiss This,3Zm5SMUA3JH98Aty7Zc0xr,61,3lDpdwM8KILepMHqBWUhIA,['3lDpdwM8KILepMHqBWUhIA'],['The Struts'],2016,modern rock
490,Pierce The Veil,Dive In,6LhGzSZlIGxZpyIXXZn9ZV,60,4iJLPqClelZOBCBifm8Fzv,['4iJLPqClelZOBCBifm8Fzv'],['Pierce The Veil'],2016,modern rock
491,Dorothy,Wicked Ones,1ogRu1dOUgHvel8To8oQbe,64,6IOvhXyk5edbA2DVaeP9Up,['6IOvhXyk5edbA2DVaeP9Up'],['Dorothy'],2016,modern rock
492,Jon Pardi,She Ain't In It,1Be8liECvEP5NYZjYvukbI,60,4MoAOfV4ROWofLG3a3hhBN,['4MoAOfV4ROWofLG3a3hhBN'],['Jon Pardi'],2016,modern rock
493,The Technicolors,Space Cadet,6DwRQI2K03MTNULcasnhUh,59,6hQS54VPpxunuwR0W7usuo,['6hQS54VPpxunuwR0W7usuo'],['The Technicolors'],2016,modern rock
494,Seafret,Oceans,5eXnC2B5RU5fAhfwvV2ABD,69,4Ly0KABsxlx4fNj63zJTrF,['4Ly0KABsxlx4fNj63zJTrF'],['Seafret'],2016,modern rock
495,American Authors,Pocket Full Of Gold,4KSQ9el0QgTKKie5oCtKLe,63,0MlOPi3zIDMVrfA9R04Fe3,['0MlOPi3zIDMVrfA9R04Fe3'],['American Authors'],2016,modern rock
