,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
711,0.351,0.734,2,-9.26,1,0.0992,0.0711,0.000819,0.208,0.229,134.269,audio_features,3lEAEfJNbcREVWu7c8nBgf,spotify:track:3lEAEfJNbcREVWu7c8nBgf,https://api.spotify.com/v1/tracks/3lEAEfJNbcREVWu7c8nBgf,https://api.spotify.com/v1/audio-analysis/3lEAEfJNbcREVWu7c8nBgf,1237783,4
712,0.324,0.736,4,-9.1,1,0.0307,0.0566,2.6e-05,0.344,0.85,156.903,audio_features,4AX9BMMXAZmXKRmfLSYFVD,spotify:track:4AX9BMMXAZmXKRmfLSYFVD,https://api.spotify.com/v1/tracks/4AX9BMMXAZmXKRmfLSYFVD,https://api.spotify.com/v1/audio-analysis/4AX9BMMXAZmXKRmfLSYFVD,126493,3
713,0.707,0.548,0,-11.515,1,0.0725,0.764,0.000216,0.802,0.736,134.721,audio_features,7iNfYAuMmXDiOt85R3Ro2C,spotify:track:7iNfYAuMmXDiOt85R3Ro2C,https://api.spotify.com/v1/tracks/7iNfYAuMmXDiOt85R3Ro2C,https://api.spotify.com/v1/audio-analysis/7iNfYAuMmXDiOt85R3Ro2C,246627,4
714,0.754,0.299,0,-14.285,0,0.0312,0.708,0.00276,0.107,0.546,119.975,audio_features,76ohkDbublQjruNdDiynjL,spotify:track:76ohkDbublQjruNdDiynjL,https://api.spotify.com/v1/tracks/76ohkDbublQjruNdDiynjL,https://api.spotify.com/v1/audio-analysis/76ohkDbublQjruNdDiynjL,208500,4
715,0.379,0.358,9,-13.909,1,0.0641,0.143,0.00373,0.762,0.466,74.624,audio_features,01E0FRixFbsbB98fg4x6ev,spotify:track:01E0FRixFbsbB98fg4x6ev,https://api.spotify.com/v1/tracks/01E0FRixFbsbB98fg4x6ev,https://api.spotify.com/v1/audio-analysis/01E0FRixFbsbB98fg4x6ev,698280,4
716,0.279,0.941,9,-6.217,1,0.0712,0.0372,0.000231,0.853,0.642,79.621,audio_features,1dxwZJNoDbXn7zfKR2g1S5,spotify:track:1dxwZJNoDbXn7zfKR2g1S5,https://api.spotify.com/v1/tracks/1dxwZJNoDbXn7zfKR2g1S5,https://api.spotify.com/v1/audio-analysis/1dxwZJNoDbXn7zfKR2g1S5,128747,4
717,0.59,0.76,9,-5.186,1,0.0408,0.0184,2.09e-05,0.354,0.575,133.788,audio_features,3Au9587rjkkwQAJ4dZ4Qps,spotify:track:3Au9587rjkkwQAJ4dZ4Qps,https://api.spotify.com/v1/tracks/3Au9587rjkkwQAJ4dZ4Qps,https://api.spotify.com/v1/audio-analysis/3Au9587rjkkwQAJ4dZ4Qps,182773,4
718,0.589,0.622,4,-10.81,1,0.105,0.228,0.0,0.116,0.91,139.061,audio_features,6hnoeJAhNt0TLaX5yzPr2l,spotify:track:6hnoeJAhNt0TLaX5yzPr2l,https://api.spotify.com/v1/tracks/6hnoeJAhNt0TLaX5yzPr2l,https://api.spotify.com/v1/audio-analysis/6hnoeJAhNt0TLaX5yzPr2l,145800,4
719,0.314,0.442,7,-12.119,1,0.0565,0.392,0.00753,0.862,0.187,102.799,audio_features,5eDGkltiw0sZbi1LRhxb8j,spotify:track:5eDGkltiw0sZbi1LRhxb8j,https://api.spotify.com/v1/tracks/5eDGkltiw0sZbi1LRhxb8j,https://api.spotify.com/v1/audio-analysis/5eDGkltiw0sZbi1LRhxb8j,529373,4
720,0.426,0.446,2,-12.806,1,0.175,0.045,0.00827,0.702,0.502,141.418,audio_features,2gJFReyGxkjBSGH7hTMMBW,spotify:track:2gJFReyGxkjBSGH7hTMMBW,https://api.spotify.com/v1/tracks/2gJFReyGxkjBSGH7hTMMBW,https://api.spotify.com/v1/audio-analysis/2gJFReyGxkjBSGH7hTMMBW,380827,4
721,0.302,0.904,2,-8.686,1,0.0848,0.0058,4.01e-05,0.871,0.475,114.196,audio_features,6QfmPnJkxdiF74BA17sADx,spotify:track:6QfmPnJkxdiF74BA17sADx,https://api.spotify.com/v1/tracks/6QfmPnJkxdiF74BA17sADx,https://api.spotify.com/v1/audio-analysis/6QfmPnJkxdiF74BA17sADx,315680,4
722,0.559,0.632,0,-10.869,1,0.114,0.674,8.16e-05,0.277,0.744,178.175,audio_features,4rlVFpcNgQNEM43aHs5QaJ,spotify:track:4rlVFpcNgQNEM43aHs5QaJ,https://api.spotify.com/v1/tracks/4rlVFpcNgQNEM43aHs5QaJ,https://api.spotify.com/v1/audio-analysis/4rlVFpcNgQNEM43aHs5QaJ,400200,4
723,0.28,0.873,6,-8.905,0,0.0897,0.00154,7.27e-06,0.669,0.305,119.342,audio_features,5X95UM2l8CHywHaYRDJPQs,spotify:track:5X95UM2l8CHywHaYRDJPQs,https://api.spotify.com/v1/tracks/5X95UM2l8CHywHaYRDJPQs,https://api.spotify.com/v1/audio-analysis/5X95UM2l8CHywHaYRDJPQs,201280,4
724,0.466,0.871,9,-5.882,1,0.122,0.372,0.329,0.262,0.357,96.502,audio_features,1BpPGFUUAzHMu8byyevqzv,spotify:track:1BpPGFUUAzHMu8byyevqzv,https://api.spotify.com/v1/tracks/1BpPGFUUAzHMu8byyevqzv,https://api.spotify.com/v1/audio-analysis/1BpPGFUUAzHMu8byyevqzv,262813,4
725,0.773,0.311,9,-13.103,1,0.0504,0.744,0.000702,0.283,0.458,112.698,audio_features,3brSFwO1uYW3yucRJC7uDF,spotify:track:3brSFwO1uYW3yucRJC7uDF,https://api.spotify.com/v1/tracks/3brSFwO1uYW3yucRJC7uDF,https://api.spotify.com/v1/audio-analysis/3brSFwO1uYW3yucRJC7uDF,514093,4
726,0.286,0.611,9,-10.579,1,0.0699,0.0134,0.00657,0.658,0.841,184.027,audio_features,2mxCbflovI7X3GJqodNmQW,spotify:track:2mxCbflovI7X3GJqodNmQW,https://api.spotify.com/v1/tracks/2mxCbflovI7X3GJqodNmQW,https://api.spotify.com/v1/audio-analysis/2mxCbflovI7X3GJqodNmQW,184613,4
727,0.384,0.623,9,-8.875,1,0.138,0.398,0.128,0.884,0.539,142.907,audio_features,593pmTrKexLeNCihWPLV4G,spotify:track:593pmTrKexLeNCihWPLV4G,https://api.spotify.com/v1/tracks/593pmTrKexLeNCihWPLV4G,https://api.spotify.com/v1/audio-analysis/593pmTrKexLeNCihWPLV4G,613547,3
728,0.333,0.904,2,-9.589,1,0.342,0.015,0.00874,0.928,0.512,84.278,audio_features,1WjcnUqyx9Y3g6qkqQYUv8,spotify:track:1WjcnUqyx9Y3g6qkqQYUv8,https://api.spotify.com/v1/tracks/1WjcnUqyx9Y3g6qkqQYUv8,https://api.spotify.com/v1/audio-analysis/1WjcnUqyx9Y3g6qkqQYUv8,317520,4
729,0.492,0.26,7,-14.633,1,0.0501,0.853,0.0203,0.692,0.399,121.74,audio_features,3H4iyihEybZnIuXCglL65U,spotify:track:3H4iyihEybZnIuXCglL65U,https://api.spotify.com/v1/tracks/3H4iyihEybZnIuXCglL65U,https://api.spotify.com/v1/audio-analysis/3H4iyihEybZnIuXCglL65U,502453,3
730,0.616,0.269,9,-15.993,1,0.0499,0.855,0.00531,0.373,0.559,88.665,audio_features,5tbNLKoo87WkqwvBHfUKeC,spotify:track:5tbNLKoo87WkqwvBHfUKeC,https://api.spotify.com/v1/tracks/5tbNLKoo87WkqwvBHfUKeC,https://api.spotify.com/v1/audio-analysis/5tbNLKoo87WkqwvBHfUKeC,436147,4
731,0.439,0.756,2,-7.028,1,0.0381,0.212,0.0,0.122,0.443,123.745,audio_features,5JubSv0sa8CKjAslCSH27S,spotify:track:5JubSv0sa8CKjAslCSH27S,https://api.spotify.com/v1/tracks/5JubSv0sa8CKjAslCSH27S,https://api.spotify.com/v1/audio-analysis/5JubSv0sa8CKjAslCSH27S,174573,4
732,0.225,0.834,7,-8.425,1,0.0596,0.0177,0.0,0.948,0.518,141.085,audio_features,6ek0XTffa5eUTkwamO0q5B,spotify:track:6ek0XTffa5eUTkwamO0q5B,https://api.spotify.com/v1/tracks/6ek0XTffa5eUTkwamO0q5B,https://api.spotify.com/v1/audio-analysis/6ek0XTffa5eUTkwamO0q5B,149267,4
733,0.595,0.522,2,-13.135,1,0.0578,0.602,0.09,0.196,0.702,118.626,audio_features,0tyrv88txjpUOgoWjAcozF,spotify:track:0tyrv88txjpUOgoWjAcozF,https://api.spotify.com/v1/tracks/0tyrv88txjpUOgoWjAcozF,https://api.spotify.com/v1/audio-analysis/0tyrv88txjpUOgoWjAcozF,638773,4
734,0.328,0.711,2,-5.037,1,0.0455,0.226,0.0172,0.0669,0.17,182.5,audio_features,5d48Ugz3zU2qfKdgKk4tL5,spotify:track:5d48Ugz3zU2qfKdgKk4tL5,https://api.spotify.com/v1/tracks/5d48Ugz3zU2qfKdgKk4tL5,https://api.spotify.com/v1/audio-analysis/5d48Ugz3zU2qfKdgKk4tL5,313040,3
735,0.676,0.697,7,-5.934,1,0.0411,0.0772,4.51e-05,0.326,0.118,89.944,audio_features,1BsCq2fxpa1llb73lDdgw5,spotify:track:1BsCq2fxpa1llb73lDdgw5,https://api.spotify.com/v1/tracks/1BsCq2fxpa1llb73lDdgw5,https://api.spotify.com/v1/audio-analysis/1BsCq2fxpa1llb73lDdgw5,186125,4
